ADMIN,admin,admin123
PRINCIPAL,PRN001,principal123
HOD,HOD_CSE,hod123
HOD,HOD_ECE,hod123
HOD,HOD_EEE,hod123
HOD,HOD_MECH,hod123
HOD,HOD_CIVIL,hod123
HOD,HOD_IT,hod123
FACULTY,FAC_CSE01,faculty123
FACULTY,FAC_CSE02,faculty123
FACULTY,FAC_CSE03,faculty123
FACULTY,FAC_ECE01,faculty123
FACULTY,FAC_ECE02,faculty123
FACULTY,FAC_EEE01,faculty123
FACULTY,FAC_EEE02,faculty123
FACULTY,FAC_MECH01,faculty123
FACULTY,FAC_MECH02,faculty123
FACULTY,FAC_CIVIL01,faculty123
FACULTY,FAC_CIVIL02,faculty123
FACULTY,FAC_IT01,faculty123
FACULTY,FAC_IT02,faculty123
STUDENT,24X1A0501,student123
STUDENT,24X1A0502,student123
STUDENT,24X1A0503,student123
STUDENT,24X1A0504,student123
STUDENT,24X1A0505,student123
STUDENT,24X1A0506,student123
STUDENT,24X1A0507,student123
STUDENT,24X1A0508,student123
STUDENT,24X1A0509,student123
STUDENT,24X1A0510,student123
STUDENT,24X1A0511,student123
STUDENT,24X1A0512,student123
STUDENT,24X1A0513,student123
STUDENT,24X1A0514,student123
STUDENT,24X1A0515,student123
STUDENT,24X1A0516,student123
STUDENT,24X1A0517,student123
STUDENT,24X1A0518,student123
STUDENT,24X1A0519,student123
STUDENT,24X1A0520,student123
STUDENT,24X1A0521,student123
STUDENT,24X1A0522,student123
STUDENT,24X1A0523,student123
STUDENT,24X1A0524,student123
STUDENT,23X1A0501,student123
STUDENT,23X1A0502,student123
STUDENT,23X1A0503,student123
STUDENT,23X1A0504,student123
STUDENT,23X1A0505,student123
STUDENT,23X1A0506,student123
STUDENT,23X1A0507,student123
STUDENT,23X1A0508,student123
STUDENT,23X1A0509,student123
STUDENT,23X1A0510,student123
STUDENT,23X1A0511,student123
STUDENT,23X1A0512,student123
STUDENT,23X1A0513,student123
STUDENT,23X1A0514,student123
STUDENT,23X1A0515,student123
STUDENT,23X1A0516,student123
STUDENT,23X1A0517,student123
STUDENT,23X1A0518,student123
STUDENT,23X1A0519,student123
STUDENT,23X1A0520,student123
STUDENT,23X1A0521,student123
STUDENT,23X1A0522,student123
STUDENT,23X1A0523,student123
STUDENT,23X1A0524,student123
STUDENT,22X1A0501,student123
STUDENT,22X1A0502,student123
STUDENT,22X1A0503,student123
STUDENT,22X1A0504,student123
STUDENT,22X1A0505,student123
STUDENT,22X1A0506,student123
STUDENT,22X1A0507,student123
STUDENT,22X1A0508,student123
STUDENT,22X1A0509,student123
STUDENT,22X1A0510,student123
STUDENT,22X1A0511,student123
STUDENT,22X1A0512,student123
STUDENT,22X1A0513,student123
STUDENT,22X1A0514,student123
STUDENT,22X1A0515,student123
STUDENT,22X1A0516,student123
STUDENT,22X1A0517,student123
STUDENT,22X1A0518,student123
STUDENT,22X1A0519,student123
STUDENT,22X1A0520,student123
STUDENT,22X1A0521,student123
STUDENT,22X1A0522,student123
STUDENT,22X1A0523,student123
STUDENT,22X1A0524,student123
STUDENT,21X1A0501,student123
STUDENT,21X1A0502,student123
STUDENT,21X1A0503,student123
STUDENT,21X1A0504,student123
STUDENT,21X1A0505,student123
STUDENT,21X1A0506,student123
STUDENT,21X1A0507,student123
STUDENT,21X1A0508,student123
STUDENT,21X1A0509,student123
STUDENT,21X1A0510,student123
STUDENT,21X1A0511,student123
STUDENT,21X1A0512,student123
STUDENT,21X1A0513,student123
STUDENT,21X1A0514,student123
STUDENT,21X1A0515,student123
STUDENT,21X1A0516,student123
STUDENT,21X1A0517,student123
STUDENT,21X1A0518,student123
STUDENT,21X1A0519,student123
STUDENT,21X1A0520,student123
STUDENT,21X1A0521,student123
STUDENT,21X1A0522,student123
STUDENT,21X1A0523,student123
STUDENT,21X1A0524,student123
STUDENT,24X1A0401,student123
STUDENT,24X1A0402,student123
STUDENT,24X1A0403,student123
STUDENT,24X1A0404,student123
STUDENT,24X1A0405,student123
STUDENT,24X1A0406,student123
STUDENT,24X1A0407,student123
STUDENT,24X1A0408,student123
STUDENT,24X1A0409,student123
STUDENT,24X1A0410,student123
STUDENT,24X1A0411,student123
STUDENT,24X1A0412,student123
STUDENT,24X1A0413,student123
STUDENT,24X1A0414,student123
STUDENT,24X1A0415,student123
STUDENT,24X1A0416,student123
STUDENT,24X1A0417,student123
STUDENT,24X1A0418,student123
STUDENT,24X1A0419,student123
STUDENT,24X1A0420,student123
STUDENT,24X1A0421,student123
STUDENT,24X1A0422,student123
STUDENT,24X1A0423,student123
STUDENT,24X1A0424,student123
STUDENT,23X1A0401,student123
STUDENT,23X1A0402,student123
STUDENT,23X1A0403,student123
STUDENT,23X1A0404,student123
STUDENT,23X1A0405,student123
STUDENT,23X1A0406,student123
STUDENT,23X1A0407,student123
STUDENT,23X1A0408,student123
STUDENT,23X1A0409,student123
STUDENT,23X1A0410,student123
STUDENT,23X1A0411,student123
STUDENT,23X1A0412,student123
STUDENT,23X1A0413,student123
STUDENT,23X1A0414,student123
STUDENT,23X1A0415,student123
STUDENT,23X1A0416,student123
STUDENT,23X1A0417,student123
STUDENT,23X1A0418,student123
STUDENT,23X1A0419,student123
STUDENT,23X1A0420,student123
STUDENT,23X1A0421,student123
STUDENT,23X1A0422,student123
STUDENT,23X1A0423,student123
STUDENT,23X1A0424,student123
STUDENT,22X1A0401,student123
STUDENT,22X1A0402,student123
STUDENT,22X1A0403,student123
STUDENT,22X1A0404,student123
STUDENT,22X1A0405,student123
STUDENT,22X1A0406,student123
STUDENT,22X1A0407,student123
STUDENT,22X1A0408,student123
STUDENT,22X1A0409,student123
STUDENT,22X1A0410,student123
STUDENT,22X1A0411,student123
STUDENT,22X1A0412,student123
STUDENT,22X1A0413,student123
STUDENT,22X1A0414,student123
STUDENT,22X1A0415,student123
STUDENT,22X1A0416,student123
STUDENT,22X1A0417,student123
STUDENT,22X1A0418,student123
STUDENT,22X1A0419,student123
STUDENT,22X1A0420,student123
STUDENT,22X1A0421,student123
STUDENT,22X1A0422,student123
STUDENT,22X1A0423,student123
STUDENT,22X1A0424,student123
STUDENT,21X1A0401,student123
STUDENT,21X1A0402,student123
STUDENT,21X1A0403,student123
STUDENT,21X1A0404,student123
STUDENT,21X1A0405,student123
STUDENT,21X1A0406,student123
STUDENT,21X1A0407,student123
STUDENT,21X1A0408,student123
STUDENT,21X1A0409,student123
STUDENT,21X1A0410,student123
STUDENT,21X1A0411,student123
STUDENT,21X1A0412,student123
STUDENT,21X1A0413,student123
STUDENT,21X1A0414,student123
STUDENT,21X1A0415,student123
STUDENT,21X1A0416,student123
STUDENT,21X1A0417,student123
STUDENT,21X1A0418,student123
STUDENT,21X1A0419,student123
STUDENT,21X1A0420,student123
